DENOMINACIÓN,DESCRIPCIÓN DEL PRODUCTO OFERTADO,descripcion_completa,tamano_id
LLAVE 3 VIAS CON 1 VALVULA SEGURIDAD SIN ALARGADOR,Llave 3 pasos  Becton Dickinson CONNECTA Llave sola con rotacion 360° - ID CM: - Estéril ETO - Cod.:BD394600 - Unidad de Medida : Caja x 100 - Procedencia: suecia- Vigencia: 3 Años,llave 3 vias con 1 valvula seguridad sin alargador llave 3 pasos  becton dickinson connecta llave sola con rotacion 360° - id cm: - estéril eto - cod.:bd394600 - unidad de medida : caja x 100 - procedencia: suecia- vigencia: 3 años,0
LLAVE 3 VIAS CON 2 VALVULA SEGURIDAD SIN ALARGADOR,Llave 3 pasos  Becton Dickinson CONNECTA Llave sola con rotacion 360° - ID CM: - Estéril ETO - Cod.:BD394600 - Unidad de Medida : Caja x 100 - Procedencia: suecia- Vigencia: 3 Años,llave 3 vias con 2 valvula seguridad sin alargador llave 3 pasos  becton dickinson connecta llave sola con rotacion 360° - id cm: - estéril eto - cod.:bd394600 - unidad de medida : caja x 100 - procedencia: suecia- vigencia: 3 años,0
PECHERA  DESECHABLE CON MANGA IMPERMEABLE (CON PUÑO O OJAL),SKU700700 PECHERA DESECHABLE CON OJAL PARA EL PULGAR. MARCA BIOMEDIKA. PROCEDENCIA CHINA. BOLSA X 10 UNIDADES,pechera  desechable con manga impermeable (con puño o ojal) sku700700 pechera desechable con ojal para el pulgar. marca biomedika. procedencia china. bolsa x 10 unidades,0
PAPEL ALTA DENSIDAD UPP-210HD (210MM X 25 M),"PAPEL ECOGRÁFICO SONY, FABRICADO POR SONY, JAPÓN. MEDIDAS: 210MM X 25 MT. ESPECIFICACIONES: ALTA DENSIDAD, BOBINADO EXTERNO. PRESENTACIÓN EN ROLLO. FICHA TÉCNICA INCLUIDA","papel alta densidad upp-210hd (210mm x 25 m) papel ecográfico sony, fabricado por sony, japón. medidas: 210mm x 25 mt. especificaciones: alta densidad, bobinado externo. presentación en rollo. ficha técnica incluida",0
PAPEL ECG ELECTROCARDIOGRAFO MOD  MAC 500,"PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 90MM X 90MM. ESPECIFICACIONES: COMPATIBLE CON ECG MAC 500. PRESENTACIÓN EN RESMA. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel ecg electrocardiografo mod  mac 500 papel ecg. fabricado por la tecnocarta, italia. medidas: 90mm x 90mm. especificaciones: compatible con ecg mac 500. presentación en resma. certificación ce, iso. ficha técnica incluida.",0
PAPEL ECG ELECTROCARDIOGRAFO MOD  MAC 600,"PAPEL ECG MAC 400. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 80MM X 90MM. PRESENTACIÓN EN RESMA DE 280 HOJAS. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel ecg electrocardiografo mod  mac 600 papel ecg mac 400. fabricado por la tecnocarta, italia. medidas: 80mm x 90mm. presentación en resma de 280 hojas. certificación ce, iso. ficha técnica incluida.",0
"PAPEL ECG EN ""Z""  210X 140X 200 (Modelo  ECG 2350)","PAPEL TÉRMICO ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 210MM X 140MM. ESPECIFICACIONES: TERMICO, EN Z, COMPATIBLE PARA NIHON KOHDEN. PRESENTACIÓN EN RESMA. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel ecg en ""z""  210x 140x 200 (modelo  ecg 2350) papel térmico ecg. fabricado por la tecnocarta, italia. medidas: 210mm x 140mm. especificaciones: termico, en z, compatible para nihon kohden. presentación en resma. certificación ce, iso. ficha técnica incluida.",0
PAPEL MONITOR GE MOD MAC 400 Z FOLD 80MM X 90 MMX 280 HJS (ORIGINAL),"PAPEL ECG MAC 400. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 80MM X 90MM. PRESENTACIÓN EN RESMA DE 280 HOJAS. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel monitor ge mod mac 400 z fold 80mm x 90 mmx 280 hjs (original) papel ecg mac 400. fabricado por la tecnocarta, italia. medidas: 80mm x 90mm. presentación en resma de 280 hojas. certificación ce, iso. ficha técnica incluida.",0
PAPEL PARA AUTOREFRACTOMETRO,"PAPEL TEMOSENSIBLE 57 MM. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 57MM X 25 MT. COLOR BLANCO, TERMOSENSIBLE. PRESENTACIÓN EN ROLLO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para autorefractometro papel temosensible 57 mm. fabricado por la tecnocarta, italia. medidas: 57mm x 25 mt. color blanco, termosensible. presentación en rollo. certificación ce, iso. ficha técnica incluida.",0
PAPEL PARA DESFIBRILADOR NIHON KOHDEN ,"PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 50MM X 100MM. PARA NIHON KOHDEN. PRESENTACIÓN EN RESMA. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para desfibrilador nihon kohden  papel ecg. fabricado por la tecnocarta, italia. medidas: 50mm x 100mm. para nihon kohden. presentación en resma. certificación ce, iso. ficha técnica incluida.",0
PAPEL PARA ECG MAC 800,"PAPEL ECG MAC 800. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 110MM X 140MM. PRESENTACIÓN EN RESMA. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para ecg mac 800 papel ecg mac 800. fabricado por la tecnocarta, italia. medidas: 110mm x 140mm. presentación en resma. certificación ce, iso. ficha técnica incluida.",0
"PAPEL PARA ELECTROCARDIOGRAFO, 12 DERIVACIONES, MEDIDA 80 X 20 MM.","PAPEL ELECTROCARDIOGRAMA 80MM. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 80MM X 20 MT. CUADRICULADO, TERMOSENSIBLE. PRESENTACIÓN EN ROLLO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para electrocardiografo, 12 derivaciones, medida 80 x 20 mm. papel electrocardiograma 80mm. fabricado por la tecnocarta, italia. medidas: 80mm x 20 mt. cuadriculado, termosensible. presentación en rollo. certificación ce, iso. ficha técnica incluida.",0
"PAPEL PARA ELECTROCARDIOGRAFO, MEDIDA 110 X 140 MM., REFERENCIA MODELO ECG-9020K (M13)","PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 110MM X 140MM. PRESENTACIÓN EN RESMA. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA","papel para electrocardiografo, medida 110 x 140 mm., referencia modelo ecg-9020k (m13) papel ecg. fabricado por la tecnocarta, italia. medidas: 110mm x 140mm. presentación en resma. certificación ce, iso. ficha técnica incluida",0
"PAPEL PARA ELECTROCARDIOGRAFO, MEDIDA 50 MM. X 30 MT. TERMOSENSIBLE ROLLO","PAPEL DESFIBRILADOR. FABRICADO POR LA TECNOCARTA, ITALIA. ESPECIFICACIONES: PAPEL TEMOSENSIBLE, MILIMETRADO. MEDIDAS: 50MM X 30 MT. PRODUCTO SIN VENCIMIENTO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA","papel para electrocardiografo, medida 50 mm. x 30 mt. termosensible rollo papel desfibrilador. fabricado por la tecnocarta, italia. especificaciones: papel temosensible, milimetrado. medidas: 50mm x 30 mt. producto sin vencimiento. certificación ce, iso. ficha técnica incluida",0
"PAPEL PARA ELECTROCARDIOGRAFO, MEDIDA 60 MM.","PAPEL PARA ELECTROCARDIÓGRAFO. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 60MM X 30 MTS. PRESENTACIÓN EN ROLLO. PRODUCTO SIN VENCIMIENTO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para electrocardiografo, medida 60 mm. papel para electrocardiógrafo. fabricado por la tecnocarta, italia. medidas: 60mm x 30 mts. presentación en rollo. producto sin vencimiento. certificación ce, iso. ficha técnica incluida.",0
"PAPEL PARA ELECTROCARDIOGRAFO, MEDIDA 63 MM.","PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 63MM X 30 MT. ESPECIFICACIONES: TERMOSENSIBLE, MILIMETRADO. PRESENTACIÓN EN ROLLO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para electrocardiografo, medida 63 mm. papel ecg. fabricado por la tecnocarta, italia. medidas: 63mm x 30 mt. especificaciones: termosensible, milimetrado. presentación en rollo. certificación ce, iso. ficha técnica incluida.",0
"PAPEL PARA ELECTROCARDIOGRAFO, REFERENCIA AT1 SCHILLER ","PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 90MM X 90MM. ESPECIFICACIONES: COMPATIBLE PARA SCHILLER. PRESENTACIÓN RESMA 400 HOJAS. PRODUCTO SIN VENCIMIENTO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para electrocardiografo, referencia at1 schiller  papel ecg. fabricado por la tecnocarta, italia. medidas: 90mm x 90mm. especificaciones: compatible para schiller. presentación resma 400 hojas. producto sin vencimiento. certificación ce, iso. ficha técnica incluida.",0
"PAPEL PARA ELECTROCARDIÓGRAFO, REFERENCIA EDAN SE-12","PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 210MM X 295MM. ESPECIFICACIONES: PAPEL COMPATIBLE PARA ECG EDAN SE-12. PRESENTACIÓN RESMA EN Z. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para electrocardiógrafo, referencia edan se-12 papel ecg. fabricado por la tecnocarta, italia. medidas: 210mm x 295mm. especificaciones: papel compatible para ecg edan se-12. presentación resma en z. certificación ce, iso. ficha técnica incluida.",0
"PAPEL PARA ELECTROCARDIOGRAFO, REFERENCIA EQUIPO 9620 (NIHON KONDERO)","PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 63MM X 30 MT. ESPECIFICACIONES: TERMOSENSIBLE, MILIMETRADO. PRESENTACIÓN EN ROLLO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para electrocardiografo, referencia equipo 9620 (nihon kondero) papel ecg. fabricado por la tecnocarta, italia. medidas: 63mm x 30 mt. especificaciones: termosensible, milimetrado. presentación en rollo. certificación ce, iso. ficha técnica incluida.",0
"PAPEL PARA ELECTROCARDIOGRAFO, REFERENCIA MOD.( MAC  500) (REF.P-226-167-02)","PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 90MM X 90MM. ESPECIFICACIONES: COMPATIBLE CON ECG MAC 500. PRESENTACIÓN EN RESMA. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para electrocardiografo, referencia mod.( mac  500) (ref.p-226-167-02) papel ecg. fabricado por la tecnocarta, italia. medidas: 90mm x 90mm. especificaciones: compatible con ecg mac 500. presentación en resma. certificación ce, iso. ficha técnica incluida.",0
"PAPEL PARA ELECTROCARDIOGRAFO, REFERENCIA R 9402-021","PAPEL TEST DE ESFUERZO. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 210MM X 280MM. ESPECIFICACIONES: MILIMETRADO. PRESENTACIÓN EN RESMA DE 300 HOJAS. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para electrocardiografo, referencia r 9402-021 papel test de esfuerzo. fabricado por la tecnocarta, italia. medidas: 210mm x 280mm. especificaciones: milimetrado. presentación en resma de 300 hojas. certificación ce, iso. ficha técnica incluida.",0
"PAPEL PARA MONITOR FETAL, REFERENCIA M1911A PHILLIPS","PAPEL PARA MONITOR FETAL. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 150MM X 100MM. PAPEL MONITOR FETAL PHILIPS. PRESENTACIÓN EN RESMA 150 HOJAS. PRODUCTO SIN VENCIMIENTO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel para monitor fetal, referencia m1911a phillips papel para monitor fetal. fabricado por la tecnocarta, italia. medidas: 150mm x 100mm. papel monitor fetal philips. presentación en resma 150 hojas. producto sin vencimiento. certificación ce, iso. ficha técnica incluida.",0
PAPEL REFERENCIA SONY UPP 110 ALTA DENSIDAD (HD),"PAPEL ECOGRÁFICO SONY. FABRICADO POR JAPÓN. MEDIDAS: 110MM X 20 MT. OBSERVACIONES: ALTA DENSIDAD, BOBINADO EXTERNO. PRESENTACIÓN EN ROLLO. PAPEL ORIGINAL. FICHA TÉCNICA INCLUIDA.","papel referencia sony upp 110 alta densidad (hd) papel ecográfico sony. fabricado por japón. medidas: 110mm x 20 mt. observaciones: alta densidad, bobinado externo. presentación en rollo. papel original. ficha técnica incluida.",0
PAPEL REFERENCIA SONY UPP 110 HG,"PAPEL ECOGRÁFICO SONY. FABRICADO POR JAPÓN. MEDIDAS: 110MM X 18MT. OBSERVACIONES: PAPEL VIDEO PRINTER, BOBINADO EXTERNO. PRESESNTACIÓN EN ROLLO. FICHA TÉCNICA INCLUIDA","papel referencia sony upp 110 hg papel ecográfico sony. fabricado por japón. medidas: 110mm x 18mt. observaciones: papel video printer, bobinado externo. presesntación en rollo. ficha técnica incluida",0
PAPEL REFERENCIA SONY UPP 84 HG,"PAPEL ECOGRÁFICO SONY. FABRICADO POR SONY, JAPÓN. MEDIDAS: 84MM X 12MT. OBSERVACIONES: ALTO BRILLO, SONY ORIGINAL. PRESENTACIÓN EN ROLLO. FICHA TÉCNICA INCLUIDA","papel referencia sony upp 84 hg papel ecográfico sony. fabricado por sony, japón. medidas: 84mm x 12mt. observaciones: alto brillo, sony original. presentación en rollo. ficha técnica incluida",0
PAPEL REGISTRO EN Z 110 X 140 X 140 HOJAS (UNITEL) ,"PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 110MM X 140MM. PRESENTACIÓN EN RESMA. PAPEL EN Z FOLD. COMPATIBLE ECG SE-601. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA","papel registro en z 110 x 140 x 140 hojas (unitel)  papel ecg. fabricado por la tecnocarta, italia. medidas: 110mm x 140mm. presentación en resma. papel en z fold. compatible ecg se-601. certificación ce, iso. ficha técnica incluida",0
"PAPEL REGISTRO, REFERENCIA MONITOR FQS 503100 (M9)","PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 50MM X 100MM. PARA NIHON KOHDEN. PRESENTACIÓN EN RESMA. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel registro, referencia monitor fqs 503100 (m9) papel ecg. fabricado por la tecnocarta, italia. medidas: 50mm x 100mm. para nihon kohden. presentación en resma. certificación ce, iso. ficha técnica incluida.",0
"PAPEL TERMOSENSIBLE EN Z , REFERENCIA MODELO  CP50  ","PAPEL ECG. FABRICADO POR LA TECNOCARTA, ITALIA. ESPECIFICACIONES: COMPATIBLE PARA ECG WELCH ALLYN, 114MM ANCHO. PRESENTACIÓN EN RESMA EN Z. PRODUCTO SIN VENCIMIENTO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel termosensible en z , referencia modelo  cp50   papel ecg. fabricado por la tecnocarta, italia. especificaciones: compatible para ecg welch allyn, 114mm ancho. presentación en resma en z. producto sin vencimiento. certificación ce, iso. ficha técnica incluida.",0
"PAPEL Z, MEDIDA DE 80 MM., REFERENCIA PARA EQUIPO MAC 400  COD. . GEAC2030887-001","PAPEL ECG MAC 400. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 80MM X 90MM. PRESENTACIÓN EN RESMA DE 280 HOJAS. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel z, medida de 80 mm., referencia para equipo mac 400  cod. . geac2030887-001 papel ecg mac 400. fabricado por la tecnocarta, italia. medidas: 80mm x 90mm. presentación en resma de 280 hojas. certificación ce, iso. ficha técnica incluida.",0
"PAPEL Z, REFERNCIA PARA MONITOR CARDIACO BIFASICO MARCA ZOLL","PAPEL PARA DESFIBRILADOR. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 90MM X 90MM. ESPECIFICACIONES: PAPEL EN ZPARA DESFIBRILADOR ZOLL. PRESENTACIÓN: RESMA 200 HOJAS. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel z, referncia para monitor cardiaco bifasico marca zoll papel para desfibrilador. fabricado por la tecnocarta, italia. medidas: 90mm x 90mm. especificaciones: papel en zpara desfibrilador zoll. presentación: resma 200 hojas. certificación ce, iso. ficha técnica incluida.",0
"PAPEL Z, REGISTRO TERMICO , REFERENCIA MONITOR FETAL COROMETRIC 170","PAPEL PARA MONITOR FETAL. FABRICADO POR LA TECNOCARTA, ITALIA. MEDIDAS: 152MM X 900MM.  PRESENTACIÓN EN RESMA 150 HOJAS. PRODUCTO SIN VENCIMIENTO. CERTIFICACIÓN CE, ISO. FICHA TÉCNICA INCLUIDA.","papel z, registro termico , referencia monitor fetal corometric 170 papel para monitor fetal. fabricado por la tecnocarta, italia. medidas: 152mm x 900mm.  presentación en resma 150 hojas. producto sin vencimiento. certificación ce, iso. ficha técnica incluida.",0
PAPEL TYVEC 10 CMS. X 70 MT.,42410 ROLLO STERRAD CON INDICADOR QUIMICO 100mm X 70 M,papel tyvec 10 cms. x 70 mt. 42410 rollo sterrad con indicador quimico 100mm x 70 m,0
CEPILLO DE LIMPIEZA  DESECHABLE  PARA BRONCOSCOPIO  711616  PARA BRONCOSCOPIO,"Cepillo de Limpieza DESECHABLE, marca Endo-Flex, procedencia ALEMANA.
- 2,0 mm diametro
- 180 cm longitud
- 5,0 mm de diametro del cepillo
- 20,0 mm de longitud del cepillo
- Doble Pompon","cepillo de limpieza  desechable  para broncoscopio  711616  para broncoscopio cepillo de limpieza desechable, marca endo-flex, procedencia alemana.
- 2,0 mm diametro
- 180 cm longitud
- 5,0 mm de diametro del cepillo
- 20,0 mm de longitud del cepillo
- doble pompon",0
COPELA DE ACERO INOXIDABLE DE 500 CC,"COPELA ACERO INOX. 0.16L, 85X40MM","copela de acero inoxidable de 500 cc copela acero inox. 0.16l, 85x40mm",0
PINZA ANATOMICA 14 CM-16 CM DE ACERO INOXIDABLE ,PINZA ANATOMICA 14.5CM,pinza anatomica 14 cm-16 cm de acero inoxidable  pinza anatomica 14.5cm,0
PINZA KELLY DE 14 CM RECTA,"PINZA HEMOSTATICA KELLY RECTA, 14CM","pinza kelly de 14 cm recta pinza hemostatica kelly recta, 14cm",0
PINZA KELLY RECTA 14 CM-16 CM DE ACERO INOXIDABLE ,"PINZA HEMOSTATICA KELLY RECTA, 14CM","pinza kelly recta 14 cm-16 cm de acero inoxidable  pinza hemostatica kelly recta, 14cm",0
PINZA KOCHER CURVA 16 CM,PINZA HEMOSTATICA KOCHER CURVA 1X2 DIENTES 16 CM,pinza kocher curva 16 cm pinza hemostatica kocher curva 1x2 dientes 16 cm,0
PINZA MOSQUITO CURVA 12 CM,"PINZA HALSTED MOSQUITO CURVA 12,5 CM","pinza mosquito curva 12 cm pinza halsted mosquito curva 12,5 cm",0
PINZA MOSQUITO RECTA 12 CM,"PINZA HALSTED MOSQUITO RECTA 12,5CM","pinza mosquito recta 12 cm pinza halsted mosquito recta 12,5cm",0
PINZA QUIRURGICA 14 CM-16 CM DE ACERO INOXIDABLE,"PINZA QUIRURGICA 1X2 DIENTES, 16CM","pinza quirurgica 14 cm-16 cm de acero inoxidable pinza quirurgica 1x2 dientes, 16cm",0
PORTA AGUJA 16 CM.DE ACERO INOXIDABLE,"PORTA AGUJAS MAYO HEGAR, 16 CM","porta aguja 16 cm.de acero inoxidable porta agujas mayo hegar, 16 cm",0
PORTA AGUJA MAYO HEGER 14 CM. DE ACERO INOXIDABLE,PORTA AGUJAS MAYO HEGAR 14CM,porta aguja mayo heger 14 cm. de acero inoxidable porta agujas mayo hegar 14cm,0
PORTA BISTURI N° 3 (PARA HOJA N° 15),"MANGO BISTURI N°3 12,5CM","porta bisturi n° 3 (para hoja n° 15) mango bisturi n°3 12,5cm",0
PORTA BISTURI N° 4 (PARA HOJA N° 20),MANGO BISTURI N°4,porta bisturi n° 4 (para hoja n° 20) mango bisturi n°4,0
RIÑON DESECHABLE DE  500 ML. ,105AA260 RIÑON PULPA BIO 700CC CJAX260,riñon desechable de  500 ml.  105aa260 riñon pulpa bio 700cc cjax260,0
TIJERA CURVA METZENBAUM 14 a 17 CM. DE ACERO INOXIDABLE,"TIJERA METZENBAUM CURVA, 14.5 CM","tijera curva metzenbaum 14 a 17 cm. de acero inoxidable tijera metzenbaum curva, 14.5 cm",0
TIJERA CURVA METZENBAUM 18 CM. DE ACERO INOXIDABLE,TIJERA METZENBAUM NELSON CURVA 18CM,tijera curva metzenbaum 18 cm. de acero inoxidable tijera metzenbaum nelson curva 18cm,0
TIJERA MAYO RECTA 14 CM. DE ACERO INOXIDABLE PUNTA ROMA,"TIJERA MAYO RECTA, 14.5 CM","tijera mayo recta 14 cm. de acero inoxidable punta roma tijera mayo recta, 14.5 cm",0
TIJERA PUNTA IRIS RECTA 12 CM.DE ACERO INOXIDABLE,TIJERA IRIS RECTA A/A 12 CM,tijera punta iris recta 12 cm.de acero inoxidable tijera iris recta a/a 12 cm,0
TIJERA QUIRURGICA 14 CM. DE ACERO INOXIDABLE PUNTA ROMA,"TIJERA QUIRURGICA RECTA PUNTA R/R, 14.5CM","tijera quirurgica 14 cm. de acero inoxidable punta roma tijera quirurgica recta punta r/r, 14.5cm",0
TIJERA RECTA METZENBAUM 14 a 17 CM. DE ACERO INOXIDABLE,"TIJERA METZENBAUM RECTA, 14.5CM","tijera recta metzenbaum 14 a 17 cm. de acero inoxidable tijera metzenbaum recta, 14.5cm",0
TIJERA RECTA METZENBAUM 18 CM. DE ACERO INOXIDABLE,TIJERA METZENBAUM NELSON RECTA 18 CM,tijera recta metzenbaum 18 cm. de acero inoxidable tijera metzenbaum nelson recta 18 cm,0
EQUIPO DE MONITORIZACION CON TRANSDUCTOR DESECHABLE PARA LA MEDICION DE PARAMETROS FISIOLOGICOS DE PRESION  (REF. 5202507-0. TRANSPAC ),Exadyn-Combitrans Set ,equipo de monitorizacion con transductor desechable para la medicion de parametros fisiologicos de presion  (ref. 5202507-0. transpac ) exadyn-combitrans set ,0
"EQUIPO PARA INFUSION CON TOMA DE AIRE  COMPATIBLE CON BOMBAS DE INFUSION 180CM  (INTRAFIX SAFE SET AIR BRAUN, REF 401450SE)",INTRAFIX AIR P SAFESET I.S. 180 cm. c/luer lock,"equipo para infusion con toma de aire  compatible con bombas de infusion 180cm  (intrafix safe set air braun, ref 401450se) intrafix air p safeset i.s. 180 cm. c/luer lock",0
ADAPTADOR LUER,Adaptador para colecta múltiple a partir de catéter periférico,adaptador luer adaptador para colecta múltiple a partir de catéter periférico,0
CANULA INTRAVENA CON BIOSEGURIDAD CON ALAS N° 20 GA 1.00,"cateter intravenoso de bioseguridad Insyte Autoguard winged  20G x 1"" o 30 mm codigo BD 381933","canula intravena con bioseguridad con alas n° 20 ga 1.00 cateter intravenoso de bioseguridad insyte autoguard winged  20g x 1"" o 30 mm codigo bd 381933",0
CANULA INTRAVENA CON BIOSEGURIDAD CON ALAS N° 24 GA ,"cateter intravenoso de bioseguridad Insyte Autoguard  24G x 0,75"" o 30 mm codigo BD 381912","canula intravena con bioseguridad con alas n° 24 ga  cateter intravenoso de bioseguridad insyte autoguard  24g x 0,75"" o 30 mm codigo bd 381912",0
CANULA INTRAVENA CON BIOSEGURIDAD Nº 20 X 30 MM  ,"cateter intravenoso de bioseguridad Insyte Autoguard  20G x 1"" o 30 mm codigo BD 381833","canula intravena con bioseguridad nº 20 x 30 mm   cateter intravenoso de bioseguridad insyte autoguard  20g x 1"" o 30 mm codigo bd 381833",0
"ACELERADOR DE INFUSION PARA SANGRE PARA BOLSA DE 500 ML. REUTILIZABLE CON PERA INSUFLADORA, VALVULA Y CONTROL DE PRESION EN ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO",apurador reusable 500 ml ,"acelerador de infusion para sangre para bolsa de 500 ml. reutilizable con pera insufladora, valvula y control de presion en envase individual resistente con sello que asegure inviolabilidad del contenido apurador reusable 500 ml ",0
BAJADA DE SUERO HOTLINE EQUIPO CALENTADOR DE SANGRE,bajada de suero y angre Hotline,bajada de suero hotline equipo calentador de sangre bajada de suero y angre hotline,0
"EQUIPO PARA INFUSION DE SOLUCIONES LUER SLIP, LLAVE EN Y (MACROGOTEO 20 GOTAS CON BULBO SIN FILTRO) (REF. IS-01A/A-21GS(LA))",IV20-201 SET ADM C/VENT S/FILTRO C CONEC EN Y,"equipo para infusion de soluciones luer slip, llave en y (macrogoteo 20 gotas con bulbo sin filtro) (ref. is-01a/a-21gs(la)) iv20-201 set adm c/vent s/filtro c conec en y",0
CONO OBTURACION COMBI ROJO,"GCH040203: TAPA ROJA ,  ESTERIL OXIDO ETILENO.  CAJA X 100 UNIDADES, VALOR X UNIDAD, MARCA GREATCARE, PROCEDENCIA CHINA, CERTIFICACIONES CERTIFICADO ISO 13485:2016. CE. LIBRE VENTA. LIBRE LATEX, VENCIMIENTO 01.05.2025","cono obturacion combi rojo gch040203: tapa roja ,  esteril oxido etileno.  caja x 100 unidades, valor x unidad, marca greatcare, procedencia china, certificaciones certificado iso 13485:2016. ce. libre venta. libre latex, vencimiento 01.05.2025",0
REGULADOR DE GOTEO MANUAL CON EXTENSOR (DOSI-FLOW O EQUIVALENTE),"GCH040401: REGULADOR DE GOTEO,  TUBO DE PVC RESISTENTE AL DOBLADO LONGITUD 60 CM UNIDAD ENVASE MIXTO ESTERIL OXIDO ETILENO, MARCA GREATCARE, PROCEDENCIA CHINA, CERTIFICACIONES CERTIFICADO ISO 13485:2016. CE. LIBRE VENTA. LIBRE LATEX, VENCIMIENTO 01.05.2026","regulador de goteo manual con extensor (dosi-flow o equivalente) gch040401: regulador de goteo,  tubo de pvc resistente al doblado longitud 60 cm unidad envase mixto esteril oxido etileno, marca greatcare, procedencia china, certificaciones certificado iso 13485:2016. ce. libre venta. libre latex, vencimiento 01.05.2026",0
ALARGADOR VENOSO 4 VIAS PUNTA LUER LOCK MACHO HEMBRA DE 15 CM ,ALARGADOR VENOSO  4 VIAS 015 ,alargador venoso 4 vias punta luer lock macho hembra de 15 cm  alargador venoso  4 vias 015 ,0
ALARGADOR VENOSO CON CONECTOR LUER LOCK MACHO-HEMBRA 30 CM.,ALARGADOR VENOSO  M/H  030,alargador venoso con conector luer lock macho-hembra 30 cm. alargador venoso  m/h  030,0
ALARGADOR VENOSO CON CONECTOR LUER LOCK MACHO-HEMBRA 75 CM. ,ALARGADOR VENOSO  M/H  075,alargador venoso con conector luer lock macho-hembra 75 cm.  alargador venoso  m/h  075,0
"ALARGADOR VENOSO CON CONECTOR LUER LOCK MACHO-HEMBRA 75 CM. VOLUMEN 0,5 CC A 1 CC DE LUMEN DE CEBADO",ALARGADOR MINILINE  M/H 075,"alargador venoso con conector luer lock macho-hembra 75 cm. volumen 0,5 cc a 1 cc de lumen de cebado alargador miniline  m/h 075",0
"ALARGADOR VENOSO CON CONECTOR LUER LOCK MACHO-HEMBRA CON LLAVE 3 PASOS 10 a 15 CM.LARGO, ENVASE INDIVIDUAL  ESTERIL. ( DISCOFIX BRAUN, REF.4098102)",ALARGADOR VENOSO C/LLAVE DE 100,"alargador venoso con conector luer lock macho-hembra con llave 3 pasos 10 a 15 cm.largo, envase individual  esteril. ( discofix braun, ref.4098102) alargador venoso c/llave de 100",0
